State,Population
Alabama,4802982
Alaska,721523
Arizona,6412700
Arkansas,2926229
California,37341989
Colorado,5044930
Connecticut,3581628
Delaware,900877
Florida,18900773
Georgia,9727566
Hawaii,1366862
Idaho,1573499
Illinois,12864380
Indiana,6501582
Iowa,3053787
Kansas,2863813
Kentucky,4350606
Louisiana,4553962
Maine,1333074
Maryland,5789929
Massachusetts,6559644
Michigan,9911626
Minnesota,5314879
Mississippi,2978240
Missouri,6011478
Montana,994416
Nebraska,1831825
Nevada,2709432
New Hampshire,1321445
New Jersey,8807501
New Mexico,2067273
New York,19421055
North Carolina,9565781
North Dakota,675905
Ohio,11568495
Oklahoma,3764882
Oregon,3848606
Pennsylvania,12734905
Rhode Island,1055247
South Carolina,4645975
South Dakota,819761
Tennessee,6375431
Texas,25268418
Utah,2770765
Vermont,630337
Virginia,8037736
Washington,6753369
West Virginia,1859815
Wisconsin,5698230
Wyoming,568300
